Wall time,Step,Value
1565022487.7986445,6000,-7.89577579498291
1565022641.880436,19000,-7.841498374938965
1565022710.305221,25000,-8.149138450622559
1565022894.2875054,41000,-7.862151145935059
1565022916.8030214,43000,-7.9459004402160645
1565022951.6870785,46000,-7.77177095413208
1565023043.2810974,54000,-7.945487976074219
1565023085.7969196,57000,-7.38487434387207
1565023257.9890134,72000,-7.48552131652832
1565023293.732577,75000,-7.231683731079102
1565023529.629867,95000,-7.364030361175537
1565023622.2130048,103000,-7.239328384399414
1565023657.2201707,106000,-7.164301872253418
1565023677.83106,107000,-6.936258792877197
1565023756.933753,114000,-6.446619033813477
1565023903.730006,127000,-6.650015830993652
1565024055.149717,140000,-6.237025737762451
1565024178.8241723,151000,-6.791654109954834
1565024235.543883,156000,-6.575019836425781
1565024278.220696,159000,-5.820347309112549
1565024379.5807338,168000,-5.94188117980957
1565024391.2377932,169000,-6.026348114013672
1565024504.3348317,179000,-5.924415111541748
1565024560.7756248,184000,-5.687058925628662
1565024583.4425383,186000,-5.812641143798828
1565024595.0555534,187000,-5.303624153137207
1565024641.2701154,191000,-5.416872024536133
1565024736.825956,199000,-5.789702415466309
1565024827.6695971,207000,-5.675899028778076
1565024839.2923734,208000,-5.761096477508545
1565024904.9228194,213000,-4.643932342529297
1565025030.4071977,224000,-4.8863677978515625
1565025099.117562,230000,-4.848186492919922
1565025155.8236206,235000,-4.83499002456665
1565025329.0928748,250000,-4.908326625823975
1565025396.353471,256000,-4.736675262451172
1565025461.7695374,261000,-4.260859489440918
1565025540.3723238,268000,-4.1549458503723145
1565025586.2127132,272000,-4.594315528869629
1565025608.7213395,274000,-3.843053102493286
1565025823.7166166,293000,-3.899845600128174
1565025880.1487272,298000,-3.729249954223633
1565025891.6956758,299000,-3.7922074794769287
1565025947.7675762,304000,-3.5653843879699707
1565026012.6737702,309000,-2.2296926975250244
1565026035.3100922,311000,-2.9344921112060547
1565026125.5762804,319000,-3.363154649734497
1565026137.0782847,320000,-2.7839248180389404
1565026265.8501875,331000,-2.993499994277954
1565026369.011754,340000,-2.853153705596924
1565026459.9225032,348000,-2.6212711334228516
1565026650.2980835,364000,-1.5036900043487549
1565026696.5691895,368000,-1.2623518705368042
1565026811.1368978,378000,-1.6069872379302979
1565027317.1047401,422000,-0.11252009868621826
1565027328.6382673,423000,-1.1199226379394531
1565027419.4943693,431000,-0.46563324332237244
1565027523.1771035,440000,-1.16888427734375
1565027546.2446632,442000,-1.4906291961669922
1565027557.9963553,443000,0.41471579670906067
1565027593.2812107,446000,-1.2714271545410156
1565027669.4199827,452000,-0.06050590053200722
1565027775.1267402,461000,0.24550051987171173
1565027810.6612816,464000,-0.5059157013893127
1565027821.7263756,465000,-0.1258430927991867
1565027934.1971345,475000,0.32417458295822144
1565028126.5980337,492000,-1.1104686260223389
1565028157.8730085,494000,0.42615896463394165
1565028373.6786337,513000,0.8971292972564697
1565028397.1082423,515000,0.9254979491233826
