Wall time,Step,Value
1565040709.6004298,1605000,4.042844295501709
1565040720.400663,1606000,3.9071590900421143
1565040971.5431817,1628000,4.152912139892578
1565041025.4425378,1633000,4.236362457275391
1565041079.5538628,1638000,4.131638526916504
1565041111.759625,1641000,4.179313659667969
1565041168.6913288,1646000,4.15887451171875
1565041200.8226917,1649000,4.268972873687744
1565041339.4016268,1661000,4.5732269287109375
1565041425.2627187,1669000,4.463523864746094
1565041501.337082,1676000,4.511081218719482
1565041577.3333354,1683000,4.502865314483643
1565041674.956151,1692000,4.617806434631348
1565041718.6274245,1696000,4.587777614593506
1565041740.2079837,1698000,4.550024509429932
1565041770.8587475,1700000,4.787489414215088
1565041803.0400453,1703000,4.769988059997559
1565041879.671833,1710000,4.860079288482666
1565041977.7068458,1719000,4.879303455352783
1565042085.5176382,1729000,4.7360029220581055
1565042128.6167111,1733000,4.770990371704102
1565042151.334041,1735000,4.847692489624023
1565042183.5815032,1738000,4.837226390838623
1565042246.3631926,1743000,5.02763557434082
1565042280.3495872,1746000,5.131681442260742
1565042291.2864428,1747000,5.197229385375977
1565042517.115124,1767000,5.213272571563721
1565042621.6017866,1776000,5.183014392852783
1565042697.1639142,1782000,5.250332832336426
1565042776.5997486,1789000,5.4344611167907715
1565042788.2147524,1790000,5.2818474769592285
1565042895.6623023,1799000,5.372112274169922
1565042978.924168,1806000,5.186140537261963
1565043228.213008,1827000,5.771170139312744
1565043271.0712385,1831000,5.588019847869873
1565043380.6899688,1841000,5.487802505493164
1565043423.5257802,1845000,5.635293006896973
1565043522.6107955,1854000,5.57578706741333
1565043671.6578526,1867000,5.968690395355225
1565043705.004727,1870000,5.920604705810547
1565043769.6815157,1876000,5.957493305206299
1565043790.9492416,1878000,5.928511619567871
1565044165.04335,1912000,6.245326042175293
1565044229.0923107,1918000,6.206551551818848
1565044415.1922095,1935000,6.246108531951904
1565044524.0243855,1945000,6.1862616539001465
1565044566.4874334,1948000,6.232268333435059
1565044588.2733626,1950000,6.510394096374512
1565044782.4357145,1968000,6.506606578826904
