Wall time,Step,Value
1566482487.8251262,22000,0.010794585570693016
1566482872.4320173,43000,0.013803904876112938
1566483232.6137536,65000,0.016807908192276955
1566483578.1516805,86000,0.020586185157299042
1566483924.0796638,107000,0.016660720109939575
1566484269.8029392,128000,0.01549719087779522
1566484638.5876646,148000,0.01165011152625084
1566484986.942679,169000,0.010664253495633602
1566485335.092309,190000,0.014006121084094048
1566485684.4208837,211000,0.012639477849006653
1566486034.6597862,232000,0.01129972841590643
1566486384.4480307,253000,0.010509599931538105
1566486720.9162638,273000,0.012421817518770695
1566487070.1653454,294000,0.010713216848671436
1566487454.713758,315000,0.011249140836298466
1566487803.678218,336000,0.010819608345627785
1566488183.7769635,357000,0.012424870394170284
1566488520.6208677,377000,0.011588065885007381
1566488869.032348,398000,0.012523852288722992
1566489248.574654,419000,0.009980748407542706
1566489595.8338404,440000,0.014314682222902775
1566489976.1789258,461000,0.012376316823065281
1566490327.4585664,482000,0.013288614340126514
1566490694.185767,502000,0.011095418594777584
1566491042.628192,523000,0.01161407120525837
1566491390.874091,544000,0.01134986337274313
1566491767.4243815,564000,0.012632510624825954
1566492152.127859,586000,0.011556405574083328
1566492553.4829087,607000,0.00922349188476801
1566492906.6193814,627000,0.011481909081339836
1566493285.665723,649000,0.012009789235889912
1566493675.974467,670000,0.010183904320001602
1566494044.606859,691000,0.010125674307346344
1566494434.7045476,711000,0.010103020817041397
1566494822.2544959,733000,0.012751266360282898
1566495209.1736083,753000,0.011012648232281208
1566495627.4340236,774000,0.012686262838542461
1566496002.849344,795000,0.013389785774052143
1566496394.234537,815000,0.010309608653187752
1566496768.0640197,836000,0.011690877377986908
1566497175.391681,857000,0.01141434907913208
1566497555.8613968,878000,0.010418443940579891
1566497917.694083,898000,0.010098086670041084
1566498323.383611,919000,0.009044192731380463
1566498700.5408216,940000,0.011697004549205303
1566499102.653803,961000,0.011674131266772747
1566499477.2613442,982000,0.012004413641989231
1566499884.734152,1003000,0.015825467184185982
1566500243.4737647,1023000,0.010311377234756947
1566500618.619296,1044000,0.010947744362056255
1566501083.05128,1065000,0.010831600055098534
1566501457.3319745,1086000,0.011764504946768284
1566501871.2326374,1108000,0.013051892630755901
1566502237.6732433,1129000,0.009953196160495281
1566502581.834789,1149000,0.011671489104628563
1566502972.1915493,1170000,0.013752562925219536
1566503328.2052124,1191000,0.012070228345692158
1566503716.5993006,1212000,0.0134727256372571
1566504073.875728,1233000,0.011188173666596413
1566504463.1968827,1254000,0.012059295549988747
1566504824.7945468,1275000,0.008978668600320816
1566505195.2789803,1297000,0.00986445788294077
1566505582.4586294,1318000,0.012884685769677162
1566505940.0169363,1339000,0.010467068292200565
1566506315.8558428,1359000,0.00970162358134985
1566506678.0215988,1380000,0.010274749249219894
1566507067.7282147,1401000,0.013688272796571255
