Wall time,Step,Value
1566482487.8251262,22000,39.69637680053711
1566482872.4320173,43000,37.83850860595703
1566483232.6137536,65000,44.90427017211914
1566483578.1516805,86000,62.109867095947266
1566483924.0796638,107000,92.51280212402344
1566484269.8029392,128000,112.50361633300781
1566484638.5876646,148000,122.04273223876953
1566484986.942679,169000,120.90819549560547
1566485335.092309,190000,121.4053726196289
1566485684.4208837,211000,120.50023651123047
1566486034.6597862,232000,118.23587036132812
1566486384.4480307,253000,111.34432220458984
1566486720.9162638,273000,106.93758392333984
1566487070.1653454,294000,99.52742004394531
1566487454.713758,315000,97.9135513305664
1566487803.678218,336000,89.25081634521484
1566488183.7769635,357000,92.90583801269531
1566488520.6208677,377000,93.06735229492188
1566488869.032348,398000,103.29939270019531
1566489248.574654,419000,160.03884887695312
1566489595.8338404,440000,187.48919677734375
1566489976.1789258,461000,238.9635467529297
1566490327.4585664,482000,270.4172058105469
1566490694.185767,502000,289.9388122558594
1566491042.628192,523000,286.1357116699219
1566491390.874091,544000,300.51422119140625
1566491767.4243815,564000,294.2467956542969
1566492152.127859,586000,304.4010314941406
1566492553.4829087,607000,296.8005065917969
1566492906.6193814,627000,295.2486572265625
1566493285.665723,649000,294.84393310546875
1566493675.974467,670000,298.63812255859375
1566494044.606859,691000,289.7253112792969
1566494434.7045476,711000,289.2480163574219
1566494822.2544959,733000,278.49853515625
1566495209.1736083,753000,296.0609436035156
1566495627.4340236,774000,288.32513427734375
1566496002.849344,795000,276.1416320800781
1566496394.234537,815000,283.0969543457031
1566496768.0640197,836000,277.0253601074219
1566497175.391681,857000,275.40911865234375
1566497555.8613968,878000,261.4635314941406
1566497917.694083,898000,254.68984985351562
1566498323.383611,919000,253.32896423339844
1566498700.5408216,940000,262.97052001953125
1566499102.653803,961000,263.33831787109375
1566499477.2613442,982000,263.73675537109375
1566499884.734152,1003000,259.2900695800781
1566500243.4737647,1023000,252.198486328125
1566500618.619296,1044000,241.0618438720703
1566501083.05128,1065000,261.6520080566406
1566501457.3319745,1086000,245.71742248535156
1566501871.2326374,1108000,224.79359436035156
1566502237.6732433,1129000,238.11297607421875
1566502581.834789,1149000,221.67808532714844
1566502972.1915493,1170000,192.5349884033203
1566503328.2052124,1191000,211.44422912597656
1566503716.5993006,1212000,205.95326232910156
1566504073.875728,1233000,223.2911834716797
1566504463.1968827,1254000,228.21141052246094
1566504824.7945468,1275000,222.3217010498047
1566505195.2789803,1297000,203.49440002441406
1566505582.4586294,1318000,186.7191162109375
1566505940.0169363,1339000,189.587158203125
1566506315.8558428,1359000,196.51522827148438
1566506678.0215988,1380000,227.5242462158203
1566507067.7282147,1401000,195.83895874023438
