-9927,024
-10054,38
-9987,66
-10041,85
-9980,308
-10034,32
-9981,614
-9981,786
-9958,251
-10033,03
-9927,435
-9985,771
-10019,18
-9990,639
-9965,54
-9974,799
-9997,775
-10019,19
-9993,89
-9994,448
-9961,14
-9962,235
-9988,93
-9943,598
-9931,477
-10002,05
-9969,734
-10029,76
-9974,456
-9989,01
-10001,44
-9966,197
-9947,153
-9961,303
-10026,31
-9954,405
-10013,96
-10011,49
-9991,246
-10007,96
-10023,67
-10018,4
-9989,597
-10012,19
-9986,951
-9985,696
-10021,99
-9997,842
-10045,28
-10017,5
-10006,1
-10024,95
-10025,85
-10020,72
-10001,08
-10020,51
-9984,197
-9985,831
-10017,37
-10009,29
-9974,988
-10001,75
-9977,314
-9991,488
-9988,61
-9960,399
-9939,949
-9981,839
-9933,175
-9988,117
-9960,554
-9994,143
-10028,95
-9973,811
-10023,27
-9985,311
-9967,163
-9982,889
-10002,12
-10005,09
-9934,23
-10003,64
-10016,19
-9901,693
-10001,58
-9985,414
-9918,05
-9983,707
-9978,998
-9976,998
-10024,77
-9933,101
-9984,051
-9963,977
-9991,992
-9974,773
-10023,27
-9978,309
-10028,95
-9979,603
-10026,6
-9952,761
-9943,664
-10035,86
-10015,21
-9954,159
-9941,229
-9985,403
-10021,1
-9975,311
-9984,181
-9978,161
-9972,098
-9934,464
-9944,823
-9970,222
-9947,224
-9939,41
-9973,545
-9982,292
-10009,63
-10046,47
-9950,97
-9983,871
-9901,353
-9956,767
-10046,59
-9974,948
-10006,77
-9950,306
-10003,4
-9914,506
-10017,7
-9957,64
-9981,613
-10045
-9962,419
-9911,917
95,10056
-9930,492
-9949,649
-10023,47
135,1295
-9973,449
-9962,346
-9941,315
-9973,516
-9935,556
-10020
-9991,256
-9970,57
57,04736
-10020,79
-9970,502
-9918,949
-9988,08
-9983,922
-9957,81
-10006,55
-9982,625
-10011,17
-9974,786
122,8791
-9980,327
-9879,915
-9954,422
-9996,577
-9974,032
-9952,059
-9954,249
-9960,271
-10022,19
-9975,173
-10033,5
-9980,848
-9951,933
-9922,844
-9968,316
-9920,418
-9958,839
-9986,139
-9950,563
-9976,945
-9989,516
-9949,345
-9857,698
-10006,67
-9914,356
-10005,66
-9998,794
-9963,876
-9972,135
-9972,999
-10019,77
-10003,58
-10052,89
-9954,566
82,77567
-10000,54
-9965,306
-9933,728
-10005,56
-9934,477
-10007,59
-9990,167
-9918,229
-9975,711
-9985,554
-10024,51
-9952,577
-9974,627
-9982,021
-9996,811
-9993,738
-10014,4
-9902,646
-9983,667
-9995,101
-10002,2
-9942,694
-9992,396
-9995,654
-10016,3
-9933,821
-9968,182
-9935,502
-9964,143
-9967,822
-9978,909
-9948,673
-9953,778
-9969,096
-9964,967
-10004,78
-9949,991
-9918,384
-9992,043
-9987,164
-9947,917
-10000,03
-9929,389
-9904,54
-9966,125
-9959,334
-9962,205
-9989,607
-9978,468
-9968,37
-9966,138
-10007,48
-10006,63
-9956,623
-9984,904
112,2905
-9949,313
-9894,163
-9971,368
-9885,479
-9888,527
-9983,361
-9984,48
-9960,229
-9859,078
-9993,391
176,4393
-10019,98
-9930,529
-9972,312
-9961,804
114,5243
-9979,555
-10000,89
-9774,768
-9962,538
-9992,265
-9864,242
-9990,968
-9980,322
-9985,369
-9952,878
-9968,702
-9997,628
-9851,257
138,2445
-9991,135
-9912,24
-9993,352
-9935,67
-9924,821
-9863,183
-9913,094
-9983,504
-9891,049
-9974,265
-9949,938
-9991,39
-9934,243
-9928,724
-9978,002
-9908,78
-9962,122
